2026-07-31 13:05:03,886 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 13:44:39,494 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 14:11:34,862 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 14:11:46,474 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 14:11:58,391 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 14:12:18,132 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\_tmp_supplier_eval_test.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/_tmp_supplier_eval_test.db
2026-07-31 14:13:34,795 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 14:20:06,456 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 14:20:56,312 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\_tmp_inventory_upload_test.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/_tmp_inventory_upload_test.db
2026-07-31 14:21:09,149 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\_tmp_inventory_upload_test.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/_tmp_inventory_upload_test.db
2026-07-31 14:55:52,796 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 15:00:04,434 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 15:00:42,105 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:30:55,556 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:31:09,525 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
2026-07-31 17:37:47,662 WARNING SQLite write check (module import) | path=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data\scm.db | file_writable=True | dir=C:\Users\로긴-2021-12-09\OneDrive\바탕 화면\SCM_PORTAL\data | dir_writable=True | sqlite_writeable=True | readonly_url_option=False | url=sqlite:///C:/Users/로긴-2021-12-09/OneDrive/바탕 화면/SCM_PORTAL/data/scm.db
